leg	item_id	reconciled_status	baseline_status	evidence_path	assertion_or_counterexample	receipt_or_gate	notes
cpp	E3	implemented-asserted	implemented-asserted	test/tables/fixedform_main.cpp:2332	check( r2.widened == 6, "BOTH RUNGS COUNTED: two widened fields times three records - widened is the RECORD's counter" )	G-CPP	
cpp	E4	weak	weak	test/tables/fixedform_properties.cpp:1436	check( n == 1, "probe kind-mismatch: Scalars2 reads Scalars" )	G-CPP	a probe that the read answers, not the kind_mismatch PAIRS the doc names
cpp	E5	implemented-asserted	implemented-asserted	test/tables/fixedform_main.cpp:228	check( back.link_present && back.link.value == 500 && r.kind_mismatch == 0, ... )	G-CPP	
cpp	E6	implemented-asserted	implemented-asserted	test/tables/fixedform_main.cpp:122	check( back.renamed_to == 321, "RENAMED: `was =` keeps the wire id" )	G-CPP	
cpp	E7	implemented-asserted	implemented-asserted	test/tables/fixedform_main.cpp:190	check( back.effect.type == tblv2::EffectType::Ward, "UNION: an arm inserted in the middle is remapped by NAME" )	G-CPP	
cpp	E8	implemented-asserted	implemented-asserted	test/tables/versioning_numbers.cpp:206	check( slack, "array_bounded_grow/NEW-READS-OLD: [..N] slack past the count is zeros (§12.6)" )	G-CPP	the append/deprecate rows ride the NEW-READS-OLD column
cpp	E9	owed	owed	-	`duplicate` appears in no assertion on any of the three legs (0 hits); the doc says this form never raises it	-	
cpp	C1	implemented-asserted	implemented-asserted	test/tables/fixedform_main.cpp:1731	check( back.marks_count == 0, "C1: a count below zero clamps to ZERO" ) with :1732 check( r.clamped == 1, "C1: and counts exactly one clamp" )	G-CPP	hostile half, one version; :1758 is the at-Max control
cpp	C2	implemented-asserted	implemented-asserted	test/tables/fixedform_main.cpp:1744	check( back.marks_count == bound, "C2: a count past Max clamps to MAX, in elements" ) with :1745 check( r.clamped == 1, ... )	G-CPP	
cpp	C3	owed	owed	-	no forged text-length case: cpp asserts text CONTENT (:1383) and never a forged length word	-	
cpp	C4	weak	weak	test/tables/fixedform_main.cpp:1383	check( r.malformed, cases[k].what ) with :1388 check( !r.refused, "TEXT CONTENT: damage is not a refusal" )	G-CPP	asserts malformed; §4.5 fix 11 now says a content violation REFUSES BY NAME (text_ill_formed) - the opposite compa…
cpp	C5	weak	weak	test/tables/fixedform_main.cpp:1422	check( back.label_length == 5 && std::memcmp( back.label, "\xC3\xA9t\xC3\xA9", 5 ) == 0, ... )	G-CPP	utf8 BYTES, not wide code units; the cap size/unit half is not asserted
cpp	C6	inapplicable	inapplicable	docs/FIXED-FORM-ALGORITHM.md §5.8 row 7	§5.8 row 7 LANDED: "a 64-bit temporary on both twins" — superseded by R31	-	Superseded by R31 (64-bit temporary on both twins)
cpp	C7	implemented-asserted	implemented-asserted	test/tables/fixedform_main.cpp:1107	check( r.clamped == 2, "RANGE: two clamps, counted" ) with :1105 "RANGE: a value past max lands at max"	G-CPP	
cpp	C8	weak	weak	test/tables/versioning_numbers.cpp:803	OLD_REFUSES_NEW( vold_bits_grow, BitsGrow, "bits_grow", nb )	G-CPP	the bits(N) GROWTH row; the F-shift bound and the 2^N-1 ceiling are not asserted
cpp	C9	implemented-asserted	implemented-asserted	test/tables/fixedform_main.cpp:1196	check( back.pick.type == tblut1::PickType::None, "ORDINAL: a tag past the arm count lands None" ) with :1197 check( r.clamped == 1, ... )	G-CPP	hostile half only, per the packet's recast
cpp	C10	implemented-asserted	implemented-asserted	test/tables/fixedform_main.cpp:1214	check( back.grade == tblv1::Grade::None, "ORDINAL: an ordinal past the enum's top value lands None" ) with :1215 r.clamped == 1	G-CPP	
cpp	C12	weak	weak	test/tables/fixedform_hostile_bytes.cpp:93	check( n == 1 && !r.refused && !r.malformed, ... ) - RAN AND RED: 'RED [Reference fixes pending, fix 2]: bool_byte_two: ... reading the member as it stands is UB'	G-CPP	asserted, run, and red by design; the packet forbids repairing it
cpp	C13	weak	weak	test/tables/fixedform_hostile_bytes.cpp:115	check( n == 1 && !r.refused && !r.malformed, ... ) - RAN AND RED: 'present_byte_two: an optional's present byte of 2 lands as the language's own true (1)'	G-CPP	asserted, run, and red by design
cpp	C14	implemented-asserted	implemented-asserted	test/tables/fixedform_main.cpp:1239	check( ir.clamped == 2, "live-count, identity: two clamps, slack never" )	G-CPP	
cpp	W1	implemented-asserted	implemented-asserted	test/tables/fixedform_main.cpp:632	check( std::memchr( body, 0xAA, body_bytes ) == NULL, ... ) with :643 the whole-span control that WOULD have carried the stain	G-CPP	
cpp	W2	implemented-asserted	implemented-asserted	test/tables/fixedform_main.cpp:1307	check( std::memchr( body, 0x5A, body_bytes ) == NULL, ... ) with :1333 the present twin that DOES carry it	G-CPP	
cpp	W3	owed	owed	-	no narrower-arm zero case on any of the three legs	-	
cpp	W4	weak	weak	test/tables/fixedform_main.cpp:663	check( back.marks[1] == 0 && back.marks[2] == 0 && back.marks[3] == 0, ... )	G-CPP	asserts ZEROS where §5.3 says read slack is UNSPECIFIED - a tighter assertion than the page
cpp	W5	owed	owed	-	no NDEBUG build in the gate: neither -DNDEBUG nor NDEBUG appears in the run log or in test/tables/fixedform_*.cpp	-	the packet requires a release-configuration run for W5; the gate compiles at -O2 with asserts live
cpp	W6	implemented-asserted	implemented-asserted	test/tables/fixedform_main.cpp:1863	check( seen_guarded < 0, "W6: a COMPILED plan puts every unguarded entry in front of every guarded one" ) with :1866 the non-vacuity check	G-CPP	
cpp	W7	implemented-asserted	implemented-asserted	test/tables/fixedform_main.cpp:776	check( tblut1::UtRootFixedPlan[3].arg == 2, "two lanes: arg is the SECOND arm's ordinal" ) with :777 meta == kTableFixedTextUtf8	G-CPP	
cpp	W8	implemented-asserted	implemented-asserted	test/tables/fixedform_main.cpp:737	check( right, "BYTES(N): the array row lands the buffer in the buffer and the length in the length" ) with :741 the text-row negative control	G-CPP	
cpp	W9	weak	weak	test/tables/fixedform_main.cpp:1035	check( std::memcmp( &back, &poison, sizeof( back ) ) == 0, ... )	G-CPP	proves a refusal writes nothing (R12), not that the prefill touches only UNWRITTEN ranges
cpp	W10	implemented-asserted	implemented-asserted	test/tables/fixedform_main.cpp:1609	check( cr.reason == tblfx1::layout_record_too_large, ... ) with :1608 made == -2 and :1620 "W10: NOT PARTLY COMPILED - no entry of the plan ran"	G-CPP	#876 had W10 GAP on all nine; closed on cpp - see exception 1. :1655 is the exactly-at-root.size control
cpp	W11	weak	weak	test/tables/fixedform_main.cpp:700	check( found != rows, "bytes row: the `bytes(N)` row is the one with stride one and a live count" )	G-CPP	asserts the PLAN row, not that the LAYOUT kind is 14 with a synthetic u8 child
cpp	W12	weak	weak	test/tables/fixedform_main.cpp:428	TableFixedPut64( f.data() + kTableFixedHashAt, TableFixedHashOf( layout.data(), (uint32_t) layout.size() ) ) - the whole layout, count included	G-CPP	the count is included by construction; no assertion isolates it
cpp	W13	implemented-asserted	implemented-asserted	test/tables/fixedform_main.cpp:2153	check( known, "manifest: every root names a table the dump generated" )	G-CPP	cpp IS the reference; the oracle it dumps is what the other legs read to
cpp	W14	owed	owed	-	offsetof / a struct-layout comparison appears in none of the three trees (0 hits for offsetof on cpp)	-	
cpp	W15	implemented-asserted	implemented-asserted	test/tables/fixedform_main.cpp:393	check( r.unknown == 0 && r.kind_mismatch == 0 && r.widened == 0 && r.clamped == 0 && !r.malformed, "a layout refusal sets nothing and counts nothing" )	G-CPP	
cpp	W16	implemented-asserted	implemented-asserted	test/tables/fixedform_main.cpp:1902	check( outer == outer_tag_at, "W16: every guarded entry of a nested union answers to ONE OUTER tag" ) with :1919 the inner tag byte guarded by the outer	G-CPP	#876 had W16 GAP on all nine; closed on cpp - see exception 1
cpp	P1	implemented-asserted	implemented-asserted	test/tables/fixedform_properties.cpp:517	check( same, what ) - the identity read and the compiled read compared field by field	G-CPP	
cpp	P2	implemented-asserted	implemented-asserted	test/tables/fixedform_properties.cpp:455	check( F::save( &v, 1, file.data(), need ) == need, what ) inside the save/load/save property	G-CPP	
cpp	P3	implemented-asserted	implemented-asserted	test/tables/fixedform_main.cpp:574	check( !r.malformed, "fuzz: a refusal is never damage" ) - every byte, every bit, under the ASan/UBSan twin	G-CPP	
cpp	P4	implemented-asserted	implemented-asserted	test/tables/fixedform_main.cpp:259	check( !intact, "NEGATIVE CONTROL: the wrong plan must NOT reproduce the record" )	G-CPP	
cpp	R1	implemented-asserted	implemented-asserted	test/tables/versioning_numbers.cpp:958	check( vnew_floor::FlooredFixedFloor == 1, "floor_at: the floor sits at lineage index 1" )	G-CPP	the emitted static lineage and floor, read at run time
cpp	R2	weak	weak	internal/codegen/cpptable/fixedform.go:395	the backend itself spells the eight: cpp `= 8 + %sFixedBodyBytes`, c `= 8 + %d`, rust `= 8 + %s_FIXED_BODY_BYTES`	G-CPP	R2 says COMPILE adds the eight ONCE and no backend adds anything - see exception 6
cpp	R3	implemented-asserted	implemented-asserted	test/tables/versioning_numbers.cpp:973	check( n < 0 && r.refused && IS_LAYOUT_UNSUPPORTED( vnew_floor, r.reason ) && ... , "floor_below: a file ONE BELOW the floor refuses layout_unsupported, no counter, nothing decoded" )	G-CPP	-DSCHEMA_FIXED_FLOOR_TEST_HOOKS is passed at Makefile:5819, so floor_raise_live is live too
cpp	R4	weak	weak	ir/fixedform.go:650	*b = append(*b, 'Q') - the digest is built at the hash site in ir/, and the legs compare lineage INDICES	G-CPP	no leg asserts that the digest is computed at the hash site, nor that a runtime never derives a hash from layout b…
cpp	R5	owed	owed	ir/fixedform.go:599	the tags exist ('Q' a compressed float's resolution, 'L' a reader-side limit) but no leg asserts the digest's contents	ir/ (TestTableFixedDefinitionsDigestLReservedUntilALimitExists)	Empty-L reserved per §5.2 (TestTableFixedDefinitionsDigestLReservedUntilALimitExists in IR passes); range/Q/flags and leg consumption remain owed
cpp	R6	owed	owed	compiler/fixedrecordsize_test.go:186	TestDeclaredFixedTablePastTheCeilingKeepsFormOneAndIsNamed - the compiler half is green (S5)	-	no leg asserts the second half: that no lineage entry is parsed for such a table even when the lock carries one
cpp	R7	implemented-asserted	implemented-asserted	test/tables/versioning_numbers.cpp:1010	the hash table cases: the reader's own hash selects the identity plan, by index	G-CPP	hash_identity / hash_unknown / hash_known_bytes_differ
cpp	R8	implemented-asserted	implemented-asserted	test/tables/versioning_numbers.cpp:158	check( n < 0 && r.refused && IS_LAYOUT_NEWER( OLDNS, r.reason ) && r.layout_hash == file_hash && r.unknown == 0 && ... , ROW "/OLD-REFUSES-NEW: layout_newer before any record, no count…	G-CPP	SCHEMA_HAS_LAYOUT_NEWER is defined by the emitter at cpptable.go:722, so the conjunct is live
cpp	R9	verified	implemented-asserted	test/tables/fixedform_main.cpp:419	refuses( f, tblfx1::layout_malformed, "RULE: ... - known hash, layout_malformed" ) x12, all seven §1.1 breaks under the one name	G-CPP (versioning_numbers.cpp:1149)	PR #1002 / commit 070dcb99: verified 7 known-hash corruption cases against destination mutation and counter leakage (hash_known_bytes_differ)
cpp	R10	implemented-asserted	implemented-asserted	test/tables/fixedform_main.cpp:281	check( bad < 0 && r3.refused && r3.reason == tblfx1::layout_newer, "REFUSED BY NAME: a newer hash is layout_newer, not a walk name" )	G-CPP	
cpp	R11	owed	owed	-	no writer-bounds plan assertion; the row writer_bound_count has no probe anywhere in the repo (0 hits outside docs/)	-	
cpp	R12	implemented-asserted	implemented-asserted	test/tables/fixedform_main.cpp:1035	check( std::memcmp( &back, &poison, sizeof( back ) ) == 0, ... ) after a no_layout refusal	G-CPP	refuse_writes_nothing has no probe by that name; this is the assertion
cpp	R13	implemented-asserted	implemented-asserted	test/tables/fixedform_main.cpp:393	check( r.unknown == 0 && r.kind_mismatch == 0 && r.widened == 0 && r.clamped == 0 && !r.malformed, "a layout refusal sets nothing and counts nothing" )	G-CPP	
cpp	R14	implemented-asserted	implemented-asserted	test/tables/fixedform_main.cpp:1609	check( cr.reason == tblfx1::layout_record_too_large, ... ) for an ENTRY reaching past root.size, with the exactly-at-root.size control at :1655	G-CPP	
cpp	R15	implemented-asserted	implemented-asserted	test/tables/versioning_numbers.cpp:158	OLD_REFUSES_NEW asserts layout_newer before any record on all fourteen rows	G-CPP	each of the four retired forward clamps now answers layout_newer
cpp	R16	weak	weak	test/tables/fixedform_main.cpp:130	check( r.unknown == 1, "older writer: `gone` is the one field this reader cannot name" ) - counted PER RECORD, and :2332 r2.widened == 6 is two fields x three records	G-CPP	§5.4 says unknown is once per peer at COMPILE and never per record; unknown_census and forged_ordinal_both_plans h…
cpp	R17	weak	weak	test/tables/fixedform_hostile_bytes.cpp:93	RAN AND RED: "bool_byte_two: a bool byte of 2 lands as the language's own true (1), never verbatim (§4.5) - reading the member as it stands is UB"	G-CPP	the pre-existing RED the packet names; do not repair
cpp	R18	implemented-asserted	implemented-asserted	test/tables/fixedform_main.cpp:1151	check( past_the_set == 0, "bounds, compiled-own: the ops are the whole set and none of them clamps" ) with :1259 the same for the live count	G-CPP	
cpp	R19	implemented-asserted	implemented-asserted	test/tables/versioning_numbers.cpp:206	check( r.unknown == 0 && r.kind_mismatch == 0 && r.widened == 0 && r.clamped == 0 && !r.malformed && !r.refused, "array_bounded_grow/NEW-READS-OLD: a bound that grew moves no counter (…	G-CPP	
cpp	R20	implemented-asserted	implemented-asserted	test/tables/fixedform_main.cpp:123	check( back.added == 11, "MISSING: a field the writer does not carry takes its declared default" ) with :120 the exact widening and vnum:206 the template zeros	G-CPP	
cpp	R21	implemented-asserted	implemented-asserted	test/tables/fixedform_main.cpp:2317	check( ( heat_bits[0] & 0x00400000u ) == 0 && ( heat_bits[1] & 0x00400000u ) == 0, ... ) with :2305 the widened f32 NaN bit pattern and :2323 the quiet bit carried	G-CPP	signalling NaNs kept, the quiet bit as the writer wrote it
cpp	R22	owed	owed	internal/lockfile/lockclosure_test.go	the closure rule is asserted once, off the legs, in internal/lockfile; no leg asserts it	-	not run by any of the three per-leg gates
cpp	R23	implemented-asserted	implemented-asserted	internal/codegen/cpptable/fixedruntime.go:1320	struct TableFixedKnownLayout { uint64_t hash; const uint8_t * layout; int64_t layout_bytes; int64_t record_bytes; }; and cpptable.go:768 uint64_t layout_hash = 0 LAST, "Zero on every o…	G-CPP	the report half asserted at test/tables/fixedform_main.cpp:157 and versioning_numbers.cpp:159
cpp	R24	owed	owed	-	text_ill_formed appears NOWHERE in the repository at this head (0 hits across *.go *.cpp *.c *.rs *.h)	-	the packet's own sentence, confirmed by a repo-wide grep
cpp	R25	weak	weak	test/tables/fixedform_main.cpp:334	check( bad < 0 && r5.refused && r5.reason == tblfx1::layout_newer, ... ) - the tiny[1] plan case asserts layout_newer, not plan_too_large	G-CPP	§5.9 #45 names R25 owed by every leg; on cpp the case exists but names the wrong refusal
cpp	R26	owed	owed	-	no case for a lineage entry that would not build; §5.9 #36 asks for layout_malformed / plan_too_large by that entry's own lane, never a throw	-	
cpp	R27	implemented-asserted	implemented-asserted	test/tables/fixedform_main.cpp:2142	check( files > 0 && lines == files, "manifest: one line per corpus file, and no line without a file" ) with :2108 and :2153	G-CPP	build/fixedform-corpus/manifest.txt, 66 lines, built by the gate
cpp	R28	weak	weak	internal/codegen/cpptable/fixedruntime.go:127	guard2 / arg2 / argw2 ARE THE OUTER TAG AN ARM INSIDE AN ARM ALSO ... - TWO levels, not an offset+count into a pool of links	G-CPP	asserted at test/tables/fixedform_main.cpp:1902-1919; no guard pool exists anywhere in internal/codegen (0 hits)
cpp	R29	owed	owed	-	no band case: the widening across the 65536 ceiling with the bounds pass clamping to the WRITER's bounds is asserted on none of the three legs	-	§5.9 #27, queue row 5
cpp	R30	owed	owed	-	cfloat_res_refine and cfloat_range_widen have no probe anywhere in the repo (0 hits outside docs/); no coarser-refuses-by-name assertion	-	#956 merged; the rows are still unprobed
cpp	R31	implemented-asserted	implemented-asserted	test/tables/fixedform_main.cpp:1007	check( r.clamped >= 1, "owed 8: COUNT clamped - a uint32_t temp would have read 0 and counted nothing" ) with :1480 "ARG LANE: tag 256 at width 2 takes arm 256"	G-CPP	uint64_t arg AND uint64_t arg2 in cpptable/fixedruntime.go; §5.8 rows 5, 7, 14 LANDED on this twin
cpp	R32	implemented-asserted	implemented-asserted	test/tables/versioning_numbers.cpp:997	check( today < 0 && after.refused && IS_LAYOUT_UNSUPPORTED( vnew_floor, after.reason ), "floor_raise_live: the same file refuses after the floor is raised by one" )	G-CPP	refused by name; the idempotence half is S3's and is owed there
-	S1	implemented-asserted	implemented-asserted	internal/lockfile/monotone.go:426	"%s, is bounded at %d elements in the lock and %d in the declaration: bound narrowed (%d -> %d) - a bound only GROWS..." - one FAIL per row, naming the table, the definition, the rule…	G-LOCK	not invoked by any §6 per-leg gate; run here directly
-	S2	implemented-asserted	implemented-asserted	internal/lockfile/lineage.go:155	"fixed table %s: the lock records lineage=0x%016x over %d lineage %s that roll up to 0x%016x ... a line that has been DELETED, reordered or re-marked by hand is caught here" and :257 "…	G-LOCK	TestLineageSetIsBoundByTheRollup :558, TestLockLineageHandEditRefused :221, TestLockLineageRecordsTheDefinitionsDi…
-	S3	weak	weak	cmd/schema/main.go:200	--retire exists ("retire a locked layout (`Table@0x<hash>`) ..."); there is NO --floor flag anywhere (0 hits for '"floor"' in cmd/ compiler/ internal/lockfile) and NO test references R…	CLI receipt	Partial: same-reason idempotent (exact bytes/mtime preserved); changed-reason overwrites reason; zero unit tests (receipt schema-retirement-idempotence-receipt.json)
-	S4	implemented-asserted	implemented-asserted	internal/codegen/cpptable/lineage_test.go:16	TestCompileLineageComesFromTheLock and :57 TestCompileFromLockIgnoresFixturePeerConvention	G-CPPLIN	COMPILE reads lockfile.Lineage / lockfile.Floor, not the filename convention
-	S5	implemented-asserted	implemented-asserted	compiler/fixedrecordsize_test.go:72	TestFixedRecordPastTheAdvisoryBoundWarns (4096), :95 PastTheWireCeilingLosesTheForm (65536), :117 FixedRecordLimitRefusesTheCompile, and compiler/fixedleafcap_test.go:72 WalkedElementA…	G-COMP	B1-B4, Go only by design, all four green
-	S6	owed	owed	internal/codegen/cpptable/fixedform.go:395	each backend lays the record size down itself - cpp "8 + %sFixedBodyBytes", ctable/fixedform.go:372 "8 + %d", rusttable/fixedform.go:876 "8 + %s_FIXED_BODY_BYTES" - so there is no ONE…	-	§5.8 row 15, the toolchain's debt; the same counterexample as R2
