leg	item_id	status	evidence_path	assertion_or_counterexample	gate_run	lane_state	note
go	F10	weak	internal/codegen/gotable/fixedform_test.go:207	if n := PointFixedLoad(got, lying, plan, &r); n >= 0 || r.Reason != "no_layout"	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	no_layout asserted in TestFixedFormRoundTrip, not run by §6 gate (no_layout-before-prefill poison probe is the owed R12)
go	F11	weak	internal/codegen/gotable/fixedguard_test.go:196	if r.Reason != "plan_too_large"	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	plan_too_large asserted in TestPlanTooLargeOnTheIdentityLane, not run by §6 gate
go	F12	owed	-	-	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	second layout for a held hash (stream) not implemented or asserted
go	E2	inapplicable	docs/FIXED-FORM-ALGORITHM.md:934	"the drop-and-count of an unknown field — all forward reads, now layout_newer"	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	§5.6 retires the unknown-nested-type drop-and-count as a forward read; reader-judgement flagged in exceptions
go	E3	implemented-asserted	internal/codegen/gotable/fixedversioning_test.go:89	want := []int32{-1, -32768, 32767}	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	widen ladder rows (int_widen/uint_widen/enum_width/float_widen/fixed_I_grow/bits_grow) run via TestFixedVersioningNewReadsOld
go	E4	inapplicable	docs/FIXED-FORM-ALGORITHM.md:394	kind(a) == kind(b) or FAIL "kind changed"	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	read-side kind_mismatch is unreachable through a lawful lineage (§5.1 refuses at commit); compile-time refusal is S1's; flagged in exceptions
go	E5	weak	internal/codegen/gotable/fixedform_test.go:617	if raw[unsafe.Offsetof(v.On)] != 1	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	?T present-op (T into ?T) asserted in TestFixedFormHostileBoolByte present byte, not run by §6 gate
go	E6	weak	-	-	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	was= id preservation is a shared ir/compiler invariant (green-on-all-nine at #876); no go-runtime §6-run assertion found
go	E7	inapplicable	docs/FIXED-FORM-ALGORITHM.md:402	FAIL "variant removed | inserted | reordered | renamed"	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	mid-list insert refused at commit (§5.1 BASELINE, S1); read-side unreachable through a lawful lineage; flagged in exceptions
go	E8	implemented-asserted	internal/codegen/gotable/fixedversioning_test.go:77	if back[0].W != 77	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	field_append/field_deprecate/field_undeprecate rows run via TestFixedVersioningNewReadsOld (append default; deprecate sameHash)
go	E9	implemented-asserted	internal/codegen/gotable/fixedversioning_test.go:143	if r.Unknown != 0 || r.KindMismatch != 0 || r.Clamped != 0 || r.Duplicate != 0	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	duplicate==0 asserted on every evolution read (NEW-READS-OLD), run by §6 gate
go	C1	weak	internal/codegen/gotable/fixedguard_test.go:104	if got.XsCount != 4	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	hostile forged count clamped to the writer's bound (TestFixedCountBoundIsTheWriters), not run by §6 gate; writer_bound_count probe owed
go	C2	weak	internal/codegen/gotable/fixedguard_test.go:107	if r.Clamped != 1	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	forged count v>Max clamps and counts once (TestFixedCountBoundIsTheWriters), not run by §6 gate
go	C3	owed	-	-	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	open-PR #971	text length clamp implemented in the text op but unasserted at head; content-refusal name text_ill_formed rides #971
go	C4	owed	-	-	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	open-PR #971	text_ill_formed appears nowhere in test/ or internal/ at head (rides #971, unmerged)
go	C5	owed	-	-	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	open-PR #971	wide text counted in code units asserted nowhere at head (rides #971)
go	C6	weak	internal/codegen/gotable/fixedruntime.go:331	raw := tableFixedTagAt(src, p.Src, uint8(p.Size))	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	recast to R31's cell: 64-bit ordinal temporary present but Arg is uint32 and no arg2 lane; no §6-run assertion of an 8-byte ordinal
go	C7	weak	internal/codegen/gotable/fixedform_test.go:1107	if got[0].N != 10 || r.Clamped != 2	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	hostile ranged-scalar clamp asserted in TestFixedFormClampLiveCount, not run by §6 gate
go	C8	weak	-	-	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	fixed_I_grow/bits_grow widen rows run, but the hostile F-shift/bits(N) clamp is unasserted at head
go	C9	weak	internal/codegen/gotable/fixedform_test.go:772	if got[0].Pick.Type != PickTypeNone	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	hostile union tag past arms -> None asserted in TestFixedFormHostileUnionTag, not run by §6 gate
go	C10	weak	internal/codegen/gotable/fixedform_test.go:1142	if got[0].Grade != GradeNone || r.Clamped != 1	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	hostile enum ordinal past top -> None asserted in TestFixedFormClampLiveCount, not run by §6 gate
go	C12	weak	internal/codegen/gotable/fixedform_test.go:617	if raw[unsafe.Offsetof(v.On)] != 1	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	bool byte !=0 normalised (fix 2) asserted in TestFixedFormHostileBoolByte, not run by §6 gate
go	C13	weak	internal/codegen/gotable/fixedform_test.go:626	if v.MaybePresent != true	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	present byte !=0 normalised (fix 2) asserted in TestFixedFormHostileBoolByte, not run by §6 gate
go	C14	weak	internal/codegen/gotable/fixedform_test.go:1025	if !strings.Contains(clampBody, "for i := int64(0); i < int64(value.MarksCount); i++")	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	bounds pass walks live elements only (TestFixedFormClampPassShape), not run by §6 gate
go	W1	implemented-asserted	bench/tables/go/table_main.go:414	if save(values, fixedTwin) != int64(len(file)) || string(fixedTwin) != string(file)	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	byte-for-byte gate round-trips the reference's file: the writer's slack matches the reference's zeros
go	W2	weak	internal/codegen/gotable/fixedform_test.go:1031	if !strings.Contains(clampBody, "if value.NotePresent")	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	absent optional skips the payload (clamp pass shape), asserted in TestFixedFormClampPassShape, not run by §6 gate
go	W3	owed	-	-	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	zero behind a narrower arm (writer writes taken arm only) has no assertion at head
go	W4	owed	-	-	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	read slack unspecified (not a refusal, no counter) has no assertion at head
go	W5	owed	-	-	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	open-PR #965	write checks DEBUG-only needs a release-config run; the harness evidence rides #965 (Go has no NDEBUG split, no run asserts it)
go	W6	owed	-	-	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	plan partition (split: unguarded then guarded) has no assertion at head
go	W7	weak	internal/codegen/gotable/fixedform_test.go:962	if plan[i].Arg != 2 || plan[i].Meta != tableFixedTextUtf8	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	arg/meta two lanes asserted in TestFixedFormArgLaneOldEncodingControl, not run by §6 gate
go	W8	owed	-	-	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	bytes(N) taking the array row (fix 10) has no assertion at head
go	W9	implemented-asserted	internal/codegen/gotable/fixedversioning_test.go:77	if back[0].W != 77	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	appended field's nonzero default (77) lands via prefill into a zeroed dest (field_append row, run); non-poison form
go	W10	weak	internal/codegen/gotable/fixedruntime.go:683	return out, "layout_record_too_large"	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	recast to R14: entry past writer's record size refused in compile path, but the Rule-6 test skips itself (§5.6); not run
go	W11	owed	-	-	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	bytes(N) walked as array of u8 (kind 14) has no assertion at head
go	W12	implemented-asserted	bench/tables/go/table_main.go:393	if len(corpusLayout) != len(layout) || string(corpusLayout) != string(layout)	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	layout+hash byte-for-byte equal the reference (gate 1), which includes the 4-byte count in the hashed layout
go	W13	implemented-asserted	bench/tables/go/table_main.go:394	fail(name, "this build's layout is not the corpus's, byte for byte")	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	layout+hash == C++ reference, byte for byte, asserted by the byte-for-byte gate (run)
go	W14	implemented-asserted	internal/codegen/gotable/fixedversioning_test.go:74	if back[0].X != 11 || back[0].Y != 22 || back[0].Z != 33	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	plan dst lands each value at the correct offset against the reference's bytes (field_append row, run)
go	W15	implemented-asserted	internal/codegen/gotable/fixedversioning_test.go:193	if r.Widened != 0 || r.Unknown != 0 || r.KindMismatch != 0 || r.Clamped != 0 || r.Duplicate != 0	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	REFUSE is total (counters zero, back==fresh) asserted in TestOldRefusesNew (run)
go	W16	owed	-	-	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	recast to R28: go runtime has no Guard2/Arg2 outer-tag lane; nested union answers outer tag unasserted/owed
go	P1	weak	internal/codegen/gotable/fixedguard_test.go:147	if got[0].G != GradeNone || identity.Clamped != 1	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	identity == compiled asserted in TestFixedForgedOrdinalCountsOnBothPlans, not run by §6 gate
go	P2	implemented-asserted	bench/tables/go/table_main.go:414	if save(values, fixedTwin) != int64(len(file)) || string(fixedTwin) != string(file)	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	write-read-write byte-identical asserted by the byte-for-byte gate (gate 3), run
go	P3	owed	-	-	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	no byte-flip fuzz sweep under a sanitizer on the go leg (cpp-only at #876; not added)
go	P4	weak	make/go.mk:520	@sed 's|uint32(%s.%sLength))|uint32(%s.%sLength+1)) // SABOTAGED|'	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	negative control (tables-go-fixed-form-negative-control) exists but is not part of the §6 gate, not run
go	R1	implemented-asserted	internal/codegen/gotable/fixedlineage.go:81	if last < 0 || entries[last].Wire != own.Wire	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	lineage laid as static data oldest-first, own last (fixedLineage), plans compiled at package init, exercised by the floor/hash harness (run)
go	R2	implemented-asserted	internal/codegen/gotable/fixedlineage.go:54	Record: 8 + fixedTypeBytes(st)	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	record_bytes is 8+body computed once in the generator; exercised by the versioning harness's correct record sizing (run)
go	R3	implemented-asserted	internal/codegen/gotable/fixedversioning_test.go:287	if n != -1 || r.Reason != "layout_unsupported"	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	floor 1+highest retired, below-floor -> layout_unsupported reporting the hash (TestFixedVersioningFloor, run)
go	R4	implemented-asserted	ir/fixedform.go:577	func TableFixedLayoutHash(layout []byte, st *Struct) uint64	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	fnv1a64 then DIGEST(T) computed at the hash site from the schema; the harness's hashes match the corpus (run)
go	R5	weak	ir/fixedform.go:650	*b = append(*b, 'Q')	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	digest emits R/Q/B/X/F with flags deduped by name; R/B/X/F exercised by versioning rows, 'Q' only in non-run fixedcfloat_test.go, cfloat rows owed
go	R6	weak	compiler/fixedrecordsize_test.go:111	t.Error("a table past the WIRE CEILING must not carry the fixed form: a reader would refuse the record it writes")	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	>65536 table gets no form (compiler-side pin), not run by §6 gate
go	R7	implemented-asserted	internal/codegen/gotable/fixedruntime.go:1133	if known[i].Hash == hash	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	identity lane is an index comparison (tableFixedSelect), never a recomputed hash; TestHashIdentity run
go	R8	implemented-asserted	internal/codegen/gotable/fixedversioning_test.go:333	if n != -1 || r.Reason != "layout_newer" || r.LayoutHash != 0xDEADBEEFCAFEF00D || r.Malformed	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	hash in no lineage -> layout_newer reporting the file's hash and nothing else (TestHashUnknown, run)
go	R9	implemented-asserted	internal/codegen/gotable/fixedversioning_test.go:352	if n != -1 || r.Reason != "layout_malformed" || r.Malformed	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	known hash with different layout bytes -> layout_malformed (TestHashKnownBytesDiffer, run); the seven §1.1 malformations collapse to this name
go	R10	implemented-asserted	internal/codegen/gotable/fixedversioning_test.go:333	if n != -1 || r.Reason != "layout_newer" || r.LayoutHash != 0xDEADBEEFCAFEF00D || r.Malformed	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	runtime walk of a stranger's layout retired (three tests skip by name); a stranger's hash is refused not walked (run)
go	R11	weak	internal/codegen/gotable/fixedguard_test.go:104	if got.XsCount != 4	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	plan carries the WRITER's count bound (TestFixedCountBoundIsTheWriters), not run; writer_bound_count probe owed
go	R12	owed	-	-	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	refuse_writes_nothing probe (no_layout before prefill, poisoned) is one of the seven owed rows (§2.7)
go	R13	implemented-asserted	internal/codegen/gotable/fixedversioning_test.go:196	if back[0] != fresh	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	REFUSE total: no counter, no destination byte, malformed never beside a reason (TestOldRefusesNew, run)
go	R14	weak	internal/codegen/gotable/fixedruntime.go:683	return out, "layout_record_too_large"	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	entry past writer's record -> layout_record_too_large in compile path, but the Rule-6 test skips itself; not run by §6 gate
go	R15	implemented-asserted	internal/codegen/gotable/fixedversioning_test.go:184	if r.Reason != "layout_newer"	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	four forward-read clamps retired -> layout_newer asserted in TestOldRefusesNew (run)
go	R16	weak	internal/codegen/gotable/fixedversioning_test.go:122	if r.Widened == 0 { t.Fatalf("a widening row moved no widened counter") }	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	widened counter run-asserted (widen rows); unknown_census and forged_ordinal_both_plans probes owed (§2.7)
go	R17	weak	internal/codegen/gotable/fixedform_test.go:638	if r != (TableReport{})	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	bool/present not 0/1 normalised, counts nothing (TestFixedFormHostileBoolByte), not run by §6 gate
go	R18	weak	internal/codegen/gotable/fixedform_test.go:1022	if strings.Contains(clampBody, "switch value.Effect.Type")	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	clamp that cannot fire is not emitted (TestFixedFormClampPassShape), not run by §6 gate
go	R19	implemented-asserted	internal/codegen/gotable/fixedversioning_test.go:143	if r.Unknown != 0 || r.KindMismatch != 0 || r.Clamped != 0 || r.Duplicate != 0	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	clean NEW-READS-OLD of an append moves no counter (TestFixedVersioningNewReadsOld, run)
